"survey_id","date","flow","weather","turbidity","start_time","end_time","section_name","units_covered","unit","count","size_class","est_size","substrate","instream_cover","overhead_cover","hydrology","water_depth_m","run","tagged","clipped","location","survey_type","section_type","species","fork_length","bank_distance","unit_type","visibility","section_number","temperature"
2,2007-06-27,NA,NA,NA,NA,NA,NA,NA,"169",50,"III",NA,NA,NA,NA,NA,NA,"unknown",FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,2007-06-27,NA,NA,NA,NA,NA,NA,NA,"173",4,"I",NA,NA,NA,NA,NA,NA,"unknown",FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,2007-06-27,NA,NA,NA,NA,NA,NA,NA,"185",15,"III",NA,NA,NA,NA,NA,NA,"unknown",FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,2007-06-27,NA,NA,NA,NA,NA,NA,NA,"215B",7,"III",NA,NA,NA,NA,NA,NA,"unknown",FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,2007-07-16,NA,"clear",NA,10:00:00,14:00:00,NA,"26,33,30,31,31a,32,32a","26",0,NA,NA,NA,NA,NA,NA,NA,"unknown",FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,2007-07-16,NA,"clear",NA,10:00:00,14:00:00,NA,"26,33,30,31,31a,32,32a","33",3,"II",50,NA,NA,NA,NA,NA,"unknown",FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,2007-07-16,NA,"clear",NA,10:00:00,14:00:00,NA,"26,33,30,31,31a,32,32a","33",30,"III",75,NA,NA,NA,NA,NA,"unknown",FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,2007-07-16,NA,"clear",NA,10:00:00,14:00:00,NA,"26,33,30,31,31a,32,32a","33",1,NA,100,NA,NA,NA,NA,NA,"unknown",FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,2007-07-16,NA,"clear",NA,10:00:00,14:00:00,NA,"26,33,30,31,31a,32,32a","30",NA,NA,NA,NA,NA,NA,NA,NA,"unknown",FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,2007-07-16,NA,"clear",NA,10:00:00,14:00:00,NA,"26,33,30,31,31a,32,32a","31",15,NA,100,NA,NA,NA,NA,NA,"unknown",FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,2007-07-16,NA,"clear",NA,10:00:00,14:00:00,NA,"26,33,30,31,31a,32,32a","31A",NA,NA,NA,NA,NA,NA,NA,NA,"unknown",FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,2007-07-16,NA,"clear",NA,10:00:00,14:00:00,NA,"26,33,30,31,31a,32,32a","32A",70,"III",75,NA,NA,NA,NA,NA,"unknown",FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,2007-07-16,NA,"clear",NA,10:00:00,14:00:00,NA,"26,33,30,31,31a,32,32a","32",14,"III",75,NA,NA,NA,NA,NA,"unknown",FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,2007-07-16,NA,"clear",NA,10:00:00,14:00:00,NA,"26,33,30,31,31a,32,32a","32",245,"III",75,NA,NA,NA,NA,NA,"unknown",FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,2007-07-16,NA,"clear",NA,10:00:00,14:00:00,NA,"26,33,30,31,31a,32,32a","32",3,NA,100,NA,NA,NA,NA,NA,"unknown",FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
