unit,section_name,section_number,section_type,river_mile,channel
UHSC,NA,NA,random,NA,NA
SEC2,NA,NA,random,NA,NA
235,NA,NA,random,8,LFC
164,NA,NA,random,6,LFC
167,NA,NA,random,6,LFC
161,NA,NA,random,5,LFC
162,NA,NA,random,5,LFC
351,NA,NA,random,11,HFC
368,NA,NA,random,11,HFC
163,NA,NA,random,5,LFC
99,NA,NA,random,3,LFC
RBUB,NA,NA,random,NA,NA
118,NA,NA,random,4,LFC
